2025-10-24 11:21:36.381 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.382 [Debug] [Hook] TM:PE priority sign query | nodeId=11317 segmentId=34779 signType=None
2025-10-24 11:21:36.382 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.383 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.383 [Debug] [Hook] TM:PE priority sign query | nodeId=10646 segmentId=34779 signType=None
2025-10-24 11:21:36.384 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.384 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.385 [Debug] [Hook] TM:PE priority sign query | nodeId=10646 segmentId=28298 signType=None
2025-10-24 11:21:36.385 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.386 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.387 [Debug] [Hook] TM:PE priority sign query | nodeId=27716 segmentId=24307 signType=None
2025-10-24 11:21:36.387 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.388 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.388 [Debug] [Hook] TM:PE priority sign query | nodeId=27716 segmentId=34806 signType=None
2025-10-24 11:21:36.389 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.389 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.390 [Debug] [Hook] TM:PE priority sign query | nodeId=5436 segmentId=34806 signType=None
2025-10-24 11:21:36.390 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.390 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.391 [Debug] [Hook] TM:PE priority sign query | nodeId=5436 segmentId=819 signType=None
2025-10-24 11:21:36.391 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.392 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.392 [Debug] [Hook] TM:PE priority sign query | nodeId=31671 segmentId=6115 signType=None
2025-10-24 11:21:36.393 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.393 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.394 [Debug] [Hook] TM:PE priority sign query | nodeId=31671 segmentId=34852 signType=None
