2025-10-24 11:52:22.679 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.683 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.686 [Debug] [Hook] TM:PE priority sign query | nodeId=27411 segmentId=25964 signType=None
2025-10-24 11:52:22.687 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.688 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.689 [Debug] [Hook] TM:PE priority sign query | nodeId=27411 segmentId=15412 signType=None
2025-10-24 11:52:22.690 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.691 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.692 [Debug] [Hook] TM:PE priority sign query | nodeId=7126 segmentId=15412 signType=None
2025-10-24 11:52:22.693 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.694 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.696 [Debug] [Hook] TM:PE priority sign query | nodeId=7126 segmentId=26376 signType=None
2025-10-24 11:52:22.697 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.698 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.700 [Debug] [Hook] TM:PE priority sign query | nodeId=15552 segmentId=18086 signType=None
2025-10-24 11:52:22.701 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.703 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.704 [Debug] [Hook] TM:PE priority sign query | nodeId=15552 segmentId=15440 signType=None
2025-10-24 11:52:22.705 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.706 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.707 [Debug] [Hook] TM:PE priority sign query | nodeId=2343 segmentId=15440 signType=None
2025-10-24 11:52:22.709 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.710 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.711 [Debug] [Hook] TM:PE priority sign query | nodeId=2343 segmentId=36704 signType=None
2025-10-24 11:52:22.713 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.714 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.715 [Debug] [Hook] TM:PE priority sign query | nodeId=19248 segmentId=15494 signType=None
2025-10-24 11:52:22.716 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.718 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.719 [Debug] [Hook] TM:PE priority sign query | nodeId=19248 segmentId=21258 signType=None
2025-10-24 11:52:22.720 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.722 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.723 [Debug] [Hook] TM:PE priority sign query | nodeId=10268 segmentId=16726 signType=None
2025-10-24 11:52:22.723 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.725 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.726 [Debug] [Hook] TM:PE priority sign query | nodeId=10268 segmentId=15494 signType=None
2025-10-24 11:52:22.727 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.728 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.730 [Debug] [Hook] TM:PE priority sign query | nodeId=19345 segmentId=20052 signType=None
2025-10-24 11:52:22.731 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.732 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.733 [Debug] [Hook] TM:PE priority sign query | nodeId=19345 segmentId=15544 signType=None
2025-10-24 11:52:22.735 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.736 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.738 [Debug] [Hook] TM:PE priority sign query | nodeId=31623 segmentId=15544 signType=None
2025-10-24 11:52:22.739 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.740 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.740 [Debug] [Hook] TM:PE priority sign query | nodeId=31623 segmentId=25562 signType=None
2025-10-24 11:52:22.741 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.742 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.743 [Debug] [Hook] TM:PE priority sign query | nodeId=24100 segmentId=21472 signType=None
2025-10-24 11:52:22.743 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.744 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.746 [Debug] [Hook] TM:PE priority sign query | nodeId=24100 segmentId=15583 signType=None
2025-10-24 11:52:22.747 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.748 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.750 [Debug] [Hook] TM:PE priority sign query | nodeId=27787 segmentId=15583 signType=None
2025-10-24 11:52:22.751 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.752 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.753 [Debug] [Hook] TM:PE priority sign query | nodeId=27787 segmentId=19658 signType=None
2025-10-24 11:52:22.754 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.755 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.757 [Debug] [Hook] TM:PE priority sign query | nodeId=9588 segmentId=1641 signType=None
2025-10-24 11:52:22.758 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.759 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.760 [Debug] [Hook] TM:PE priority sign query | nodeId=9588 segmentId=15598 signType=None
2025-10-24 11:52:22.761 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
